permission_id,street,post_code,prim_add_obj_name
211612,High Road,HA9 6AX,"Lanmor House, 370"
148903,Franklin Road,SE20 8HW,18
374259,Oaklands Road,BR1 3SL,4
151247,Shaftesbury Avenue,HA3 0QX,2a
158079,Old Road,EN3 5XZ,74
158077,Lawson Road,EN1 1RL,1
152892,King's Mews,WC1N 2JB,22
151108,Dane Place,E3 5EJ,12
245428,Kilburn High Road,NW6 2DB,286-290
175597,Greenwich Peninsula,SE10,"PLOTS N0205, N0206 & N0207 GREENWICH PENINSULA"
147686,Gooshays Drive,RM3 8AE,Former Police Station
148253,Neasden Lane North,NW10 0AH,321-325
260108,Peel Drive,NW9 5JE,Peel Centre
149974,New Broadway,W5 2XA,16-20
372250,Roding Lane South,,406
153066,Denning Road,NW3 1SU,12
313265,Trafalgar Way,E14 5SP,2
275519,Alie Street,E1 8NZ,74
241690,Oakleigh Road North,N20 9HE,"Development Site East Of 23, Formerly Known As 25"
152963,Grape Street,WC2H 8DR,9-13
150229,Woodstock Grove,W12 8LE,36
158018,Essex Road,W3 9JA,25
162928,Ronalds Road,N5 1XH,2 nd 2a
151088,Abbeville Road,SW4 9LA,15
207139,WYNDHAM ROAD,SE5 0UB,160
260441,Caxton Road,W12 8AJ,2
241180,Cavendish Road,SW12 0DG,50
149721,Marsh Way,RM13 8EU,CEME
175828,Old Street,EC1V 9ND,"Redbrick Estate, 163, 169 - 173"
260442,Goldhawk Road,W12 8EN,143
182938,KEW BRIDGE ROAD,TW8 0EF,FORMER THAMES WATER LAND
372242,Durnsford Road,SW19 8GT,11
150260,Larner Road,DA8 3RH,"Erith Park (formerly Larner Road Estate), Phase 2"
240219,Abbey Road,IG11 7BZ,2 - 4 Town Quay
149378,Park Road,IG1 1SB,47
212494,Harrow View,HA2 6QQ,Kodak
175308,Sheen Road,TW9 1YJ,93
162648,Mildmay Grove North,N1 4RH,37D
372956,Kingston Road,SW19 1LJ,155 - 157
372951,Crooked Billet,SW19 4RQ,46
154277,Woodside Lane,DA5 1EY,Garages rear of 145-175
265168,904 - 908 High Road,N12 9RW,Sheldon House
353168,Milson Road,W14 0LB,54
353188,Wandsworth Bridge Road,SW6 2TF,102
353228,Wolverton Gardens,W6 7DY,9
353248,Dawes Road,SW6 7HT,8
187048,Kilburn Park Road,W9 2EU,245
165788,RESTMOR WAY,SM6 7AH,Vulcan House
149243,Tile Kiln Lane,N13 6BD,"Oakthorpe Court, 24"
151114,Commercial Road,E1,Former 88-90
151917,MALDEN ROAD,SM3 8QY,123
149208,South Street,EN3 4JZ,28
153277,Glentham Road,SW13 9JJ,4
182788,Cambridge Road,KT1 3NG,13
373373,Robinson Road,SW17 9DJ,2a - 2b
240568,Ferme Park Road,N8 9SG,115
260558,Netherwood Road,W14 0BJ,6
165449,The Walnuts,BR6 0TW,87
353508,Lillie Road,SW6 7PD,
165413,Samuel Street,SE18,39
151508,Coney Burrows,E4 6EB,10a
149436,Abbey Wood Road,SE2 9DZ,99
353448,Masbro' Road,W14 0LS,67
201607,Linkfield Road,TW7 6QP,15a
150835,Kingsgate Road,NW6 4JY,Land to the Rear of 87
157791,St James's Park,CR0 2UT,Garage Site adj to 1
165703,Buller Road,CR7 8QW,64
357943,Lewis Road,CR4 3DE,34
153285,Archer Mews,TW12 1RN,"Burnham House, 4"
152488,Hendon Way,NW2 2NE,162
182944,RADNOR ROAD,SE15 6UR,13
153909,Liverpool Road,N1 0QD,78
155582,Fortune Green Road,NW6 1DS,74
190559,South of Maryon Road,SE7,Morris Walk (South) Estate
148689,Anerley Road,SE19 2AN,104
168963,GRANGE ROAD,SE1 3AL,130
257148,Belvedere Avenue,SW19 7PP,19
173339,Park Hill,SW4 9NS,9
155933,Upper Tooting Road,SW17 7TJ,147
181008,THE CRESCENT,KT3 3LE,49
148971,BEYNON ROAD,SM5 3RL,4
149131,LEWIS ROAD,SM1 4BR,17
149630,Wilton Crescent,SW1X 8RN,14
165828,RESTMOR WAY,SM6 7AH,Vulcan House
192255,Merton Road,SW18 5EQ,161
170644,Rosendale Road,SE21 8EZ,103A
191188,West End Lane,NW6 1RD,311
152047,Pancras Square,N1C 4AG,4
168861,CROXTED ROAD,SE24 9DG,206
149297,Felixstowe Road,N9 0DT,145
260325,Broadwater Road,N17 6EP,59
177169,Lady Margaret Road,UB1 2NL,400
189418,Northwick Park Road,HA1 2NT,"2-12, Comfort Hotel"
365203,Tavistock Road,UB7 7RQ,Padcroft Works
151464,Coral Row,SW11,Reef House
171148,Dyne Road,NW6 7XD,William Dromey Court
150054,The Meadow,BR7 6AA,6
169768,POMEROY STREET,SE14 5BW,29
157382,Fulton Road,HA9 0NU,"Olympic Office Centre Car Park, 8"
149493,Grove Crescent Road,E15 1BJ,19
173319,North End Road,W14 9NS,253
151282,Rosina Street,E9 6JH,6-9
221528,Becklow Road,W12 9HJ,124
214648,Ewell Road,KT6 6AL,119-125
151933,WESTMEAD ROAD,SM1 4JH,123
